IP,Class,Probability,||,Fingerprint Features,||,Signature Features
13,29,0.3788607205503629,||,5760,64,1,6386,0,0,0,0,1452,0.343870,10.511012,22.512953,46.553673,94.751953,||,5680,64,1,114,0,0,0,0,1420,0.000000,3.677929,9.686161,21.732139,45.835457,94.033216
17,11,0.4118974790651115,||,8192,128,1,7331,0,0,0,0,1440,0.360013,||,33580,128,1,58804,0,0,0,0,1460,0.000000,2.958054,8.993328
14,100,0.4511864733169970,||,1460,255,1,1,0,0,0,0,1460,0.386922,3.393876,4.389555,5.389139,||,536,64,0,1,0,0,0,0,1334,0.000000,0.948014,1.948017,3.948056,7.948210,15.948437
19,44,0.4955682191801701,||,8192,64,0,114,1,1,8192,0,512,0.073093,30.003700,75.000349,||,8192,64,0,114,1,1,8192,1,512,0.000000,5.727985,29.727062,74.725134
12,44,0.5160722055517872,||,8192,64,0,114,1,1,8192,0,512,0.056543,6.015033,30.011417,75.007772,||,8192,64,0,114,1,1,8192,1,512,0.000000,5.727985,29.727062,74.725134
5,72,0.5250858905310489,||,4500,255,0,1,0,0,0,0,1460,0.319369,3.628211,6.628272,9.627400,13.626762,||,3072,255,0,1,1,0,3072,1,1460,0.000000,0.949902,2.450118,5.450313,9.951673
16,35,0.5314963281927200,||,4380,255,1,30107437,0,0,0,0,1460,0.140060,3.139257,||,4380,255,1,30107437,0,0,0,0,1460,0.000000,2.996724,8.997030,21.005101
2,58,0.5332169318914201,||,32768,64,1,1,0,0,0,0,1460,0.346192,3.340969,9.339800,21.339768,||,32768,64,1,58803,0,0,0,0,1460,0.000000,3.031467,9.047606,21.082249
11,44,0.5404365592340122,||,8192,64,0,114,1,1,8192,0,512,0.068205,74.743441,||,8192,64,0,114,1,1,8192,1,512,0.000000,5.727985,29.727062,74.725134
8,6,0.6187077805620725,||,65535,128,1,30107572,0,0,0,0,1440,1.425917,3.975472,10.380961,||,65535,128,1,30107572,0,0,0,0,1460,0.000000,3.219480,9.781956
15,57,0.6206834763783403,||,16384,64,1,58803,0,0,0,0,1460,0.058440,3.113538,9.112770,21.112124,||,16384,64,1,58803,0,0,0,0,1460,0.000000,3.013829,9.013932,21.018280
10,57,0.6235364702946377,||,16384,64,1,58803,0,0,0,0,1460,0.073672,3.086791,9.086099,21.087057,||,16384,64,1,58803,0,0,0,0,1460,0.000000,3.013829,9.013932,21.018280
7,6,0.6910118639944186,||,65535,128,1,984467860918,0,0,0,0,1460,0.247426,||,65535,128,1,30107572,0,0,0,0,1460,0.000000,3.219480,9.781956
1,75,0.8608819910946448,||,16000,255,1,1,1,1,16000,0,1420,0.047432,1.115323,2.141156,3.161616,4.176277,5.187765,6.216745,||,1022,64,0,7606,0,0,0,0,1024,0.000000,0.989516,1.993030,2.996535,4.000077,5.007769,6.032854,7.016321,8.014188,9.017717
6,27,0.8645036901227992,||,5792,64,1,6386,0,0,0,0,1460,0.272309,4.230243,10.228825,22.246788,46.278885,94.542262,||,5792,64,1,6386,0,0,0,0,1460,0.000000,3.560740,9.584028,21.639220,45.736018,93.926661
20,27,0.8745474043697702,||,5792,64,1,6386,0,0,0,0,1460,0.054073,4.128369,10.128035,22.127558,46.327595,94.529682,||,5792,64,1,6386,0,0,0,0,1460,0.000000,3.560740,9.584028,21.639220,45.736018,93.926661
20,27,0.8745474043697702,||,5792,64,1,6386,0,0,0,0,1460,0.054073,4.128369,10.128035,22.127558,46.327595,94.529682,||,5792,64,1,6386,0,0,0,0,1460,0.000000,3.560740,9.584028,21.639220,45.736018,93.926661
9,27,0.8806871761940316,||,5792,64,1,6386,0,0,0,0,1460,0.150921,4.543628,10.543014,22.541932,94.935501,||,5792,64,1,6386,0,0,0,0,1460,0.000000,3.560740,9.584028,21.639220,45.736018,93.926661
18,51,0.9632969638155561,||,4128,255,0,1,0,0,0,0,536,0.145485,2.144985,6.148496,14.143280,||,4128,255,0,1,0,0,0,0,536,0.000000,1.998022,5.998160,13.997638
3,122,0.9993067829728883,||,4096,64,0,58803,1,1,4096,0,1360,0.339441,6.212421,18.211413,30.209042,42.407382,||,17376,64,1,58803,1,1,17376,1,1460,0.000000,2.996674,8.998590,20.996786,29.993822
4,5,0.9999980468721219,||,64240,128,0,30107572,0,0,0,0,1380,0.036325,2.519200,8.553662,||,64240,128,0,30107572,0,0,0,0,1380,0.000000,2.479521,8.523781
